"","FollowNumber","Name","Age","Sex","DiversityScore"
"267",7409,"walimah",7,"F",1.16793443189246
"268",7434,"walimah",7,"F",1.0914431890477
"269",4864,"walimah",6,"F",1.47118566911731
"270",7172,"walimah",7,"F",1.90274643460458
"271",6527,"walimah",7,"F",0.978554564247727
"272",4747,"walimah",6,"F",1.04266915136372
"273",7707,"walimah",7,"F",0.782182581289252
"274",6970,"walimah",7,"F",1.44238832833597
"275",2861,"walimah",1,"F",1.19526841708698
"276",2879,"walimah",1,"F",1.73619861417978
"277",3042,"walimah",1,"F",1.33608433259726
"278",3195,"walimah",1,"F",1.39932874742111
"279",3436,"walimah",1,"F",1.72008302618699
"280",3489,"walimah",2,"F",1.66044301885486
"281",3874,"walimah",2,"F",1.88874381836372
"282",3913,"walimah",2,"F",2.00374391964037
"283",4253,"walimah",2,"F",0.979728199914684
"284",4267,"walimah",2,"F",1.01753802495658
"285",4276,"walimah",2,"F",0.553741559377056
"286",4284,"walimah",2,"F",1.06840930725484
"287",4288,"walimah",2,"F",0.685235350331586
"288",4292,"walimah",2,"F",1.22397725076637
"289",4295,"walimah",2,"F",1.87166600829351
"290",4370,"walimah",2,"F",1.331488875968
"291",4485,"walimah",2,"F",0.591702848058963
"292",4495,"walimah",2,"F",1.9945318080617
"293",4497,"walimah",2,"F",2.075246104345
"294",4499,"walimah",2,"F",1.05821671562841
"295",4505,"walimah",2,"F",1.91888315310161
"296",4532,"walimah",2,"F",0.99045816455815
"297",4538,"walimah",2,"F",1.73185971589447
"298",4541,"walimah",2,"F",0.54195142660084
"299",4545,"walimah",2,"F",1.5515813577706
"300",4549,"walimah",2,"F",0.359023810488627
"301",4773,"walimah",6,"F",1.16907542690908
"302",4777,"walimah",6,"F",0.991696367340688
"303",4831,"walimah",6,"F",0.814109764689099
"304",4841,"walimah",6,"F",0.827813991814535
"305",5328,"walimah",6,"F",1.2837828634775
"306",5347,"walimah",6,"F",0.529376428439955
"307",6555,"walimah",7,"F",0.97884614820565
"308",6560,"walimah",7,"F",1.49819996323283
"309",6561,"walimah",7,"F",1.77330857986787
"310",6573,"walimah",7,"F",0.598350408198696
"311",6578,"walimah",7,"F",0.607938068642834
"312",6604,"walimah",7,"F",0.499080803521595
"313",6626,"walimah",7,"F",0.866646114436811
"314",6637,"walimah",7,"F",0.492603657539584
"315",6639,"walimah",7,"F",1.13628863403928
"316",6653,"walimah",7,"F",1.07126567312122
"317",6655,"walimah",7,"F",1.34135768409004
"318",6656,"walimah",7,"F",0.859511382170058
"319",6797,"walimah",7,"F",0.905239123902522
"320",6851,"walimah",7,"F",0.446568833290589
"321",6880,"walimah",7,"F",1.66267416137023
"322",6881,"walimah",7,"F",1.54606810214561
"323",6885,"walimah",7,"F",0.994448518604572
"324",6919,"walimah",7,"F",1.29804085538768
"325",6929,"walimah",7,"F",0.966261208927724
"326",6969,"walimah",7,"F",0.762220413248721
"327",6976,"walimah",7,"F",1.56650816880318
"328",7022,"walimah",7,"F",0.932677790272258
"329",7065,"walimah",7,"F",1.04983795649933
"330",7066,"walimah",7,"F",1.51915892226224
"331",7067,"walimah",7,"F",1.17265639833114
"332",7068,"walimah",7,"F",0.913568255172322
"333",7073,"walimah",7,"F",1.60603955030956
"334",7076,"walimah",7,"F",1.44110667329162
"335",7166,"walimah",7,"F",0.340437060359829
"336",7183,"walimah",7,"F",0.983052347112026
"337",7198,"walimah",7,"F",1.55226373878643
"338",7200,"walimah",7,"F",1.57744680242404
"339",7212,"walimah",7,"F",1.3963685673879
"340",7221,"walimah",7,"F",1.12642008524643
"341",7233,"walimah",7,"F",0.672804689394068
"342",7268,"walimah",7,"F",1.05622358955318
"343",7269,"walimah",7,"F",1.14148128143134
"344",7275,"walimah",7,"F",1.26945137735501
"345",7298,"walimah",7,"F",1.30579257553463
"346",7339,"walimah",7,"F",2.04175204282282
"347",7342,"walimah",7,"F",1.33700521473101
"348",7348,"walimah",7,"F",0.156946388230847
"349",7350,"walimah",7,"F",1.2588911667641
"350",7416,"walimah",7,"F",1.19689825752321
"351",7418,"walimah",7,"F",1.9000481693628
"352",7478,"walimah",7,"F",1.41141904785832
"353",7515,"walimah",7,"F",0.912255168524127
"354",7644,"walimah",7,"F",1.1594798299801
"355",7768,"walimah",7,"F",0.762775290347615
"356",7780,"walimah",7,"F",1.41854606759194
"357",2663,"misha",5,"F",1.0302273508955
"358",655,"misha",3,"F",1.34525948727694
"359",2560,"misha",5,"F",1.11691420470876
"360",4064,"misha",6,"F",1.53651489940117
"361",2459,"misha",5,"F",1.58126870258874
"362",2555,"misha",5,"F",1.72901974755747
